Name: target_10, Result: (y & x), Size: 3, OrigSize: 28, VarNum: 2, IsPoly: false, AlterOrig: 1, AlterDeob: 0, RuleNumber: 193, RuleCount: 0, LinearReduce: 0, SynthReduce: 25, RuleReduce: 3, Time: 23.000000
Name: target_100, Result: ((((y ^ ((((y & (- 2)) ^ (- 66)) + (((y << 1) & (- 440)) | 2)) + ((((((((((((((((((((y ^ 2147483461) | (((y & 2147483607) ^ ((y ^ 146) | ((- y) | 41))) ^ 146)) << 1) + (((y ^ 146) | ((- y) | 1)) & (- 41))) + ((x ^ (- 43)) + 1)) - (((x | 42) ^ (y & (- 179))) + ((x & (- 43)) ^ ((- y) & 9)))) + ((y & (- 179)) & (~ ((y & (- 187)) | (x | 42))))) + ((y & (- 187)) | (x | 42))) + (((y & (- 187)) | (x | 42)) | (y & (- 179)))) - (((x | 42) | (y & (- 179))) ^ ((y & (- 187)) | (x | 42)))) + (((y & (- 41)) ^ (- 147)) ^ ((- y) | 41))) + 1) + (((y & (- 41)) ^ (- 147)) & ((- y) | 41))) + ((x & (- 43)) & (~ ((- y) & 9)))) + ((- y) & 9)) + (y | 178)) + (y & 1)) + (((- y) & 32) | 137)) + 42) + ((x & (- 43)) | ((- y) & 9))))) + (y & (((((y | 98) & (~ x)) | ((y | ((- y) | (- 116))) | 1)) + ((((((- y) & (- 115)) ^ x) ^ (- 141)) & (((((- y) & 8) & x) | (y & 16)) | (- 25))) & ((y | ((- y) | (- 116))) | 1))) + (((((((((((((y & (- 255)) & (((- y) & (- 123)) & x)) + (((((- y) & 2147483532) | ((y & 2147483490) | (((- y) & 2147483524) & x))) << 1) | 2)) - ((((- y) & (- 116)) | 1) ^ ((y & (- 157)) | (((- y) & (- 123)) & x)))) + (((((- y) & 2147483393) ^ x) << 1) | 280)) + ((y ^ (- 141)) + 1)) - ((((- y) | (- 115)) & (y | 140)) ^ (x | (~ ((- y) & (- 115)))))) + (((((- y) & (- 115)) ^ x) ^ 16) | (((((- y) & 8) & x) | (y & 16)) | (- 25)))) + 1) + ((- y) & (- 116))) + (((- y) & (- 115)) ^ (- 2))) + 2) + (((y | 140) | (x | (~ ((- y) & (- 115))))) << 1))))) | (y & (((((y << 1) & (- 280)) ^ 362) + (((y & (- 139)) ^ (- 181)) + 1)) + (((((((((- y) & 132) | 9) - ((((((- y) & 132) | 9) ^ ((y ^ (- 139)) & ((- y) | (- 181)))) - ((((((((((((((((((((y << 1) & 16) ^ 378) + (((((- y) & 132) | 9) & (~ ((y ^ (- 139)) & ((- y) | (- 181))))) ^ (- 182))) + (((y ^ (- 139)) & ((- y) | (- 181))) | 138)) + ((((y ^ (- 139)) & ((- y) | (- 181))) & (- 139)) ^ (- 139))) + ((y & (- 139)) | ((y + 63) & 52))) + ((y * 126) | (- 98))) - ((- y) & 48)) + x) + ((- y) ^ 180)) + 52) - (((((- y) | (~ y)) | (- 181)) & ((y & 53) | (- 182))) ^ ((y & (- 139)) ^ 181))) + ((y & 53) + (- 181))) + (- 1)) + (y | 138)) + ((y ^ (- 139)) & ((- y) | (- 181)))) + (((y ^ (- 139)) & ((- y) | (- 181))) & (- 139))) + ((((((- y) | (~ y)) | (- 181)) & ((y & 53) | (- 182))) | ((y & (- 139)) ^ 181)) & 181)) + (- 1))) + ((((- y) & 132) | 9) & ((y ^ (- 139)) & ((- y) | (- 181)))))) + (- 2)) + ((y | ((- y) | (- 181))) | (- 139))) + (((((- y) | (~ y)) | (- 181)) & ((y & 53) | (- 182))) & ((y & (- 139)) ^ (- 182)))) + ((y ^ (- 139)) & ((- y) | (- 181)))) + 2)))) + (((y ^ ((x & 1) + ((((x | (- 181)) & ((x & (- 181)) ^ 181)) + (- 1)) + (x & 1)))) + (y & ((x & (- 2)) + ((((x << 1) | (- 82)) - (x | (- 41))) + (((x & 41) ^ 40) + 1))))) & (y & ((((x << 1) | (- 98)) - ((x | (- 49)) ^ ((x & 36) | 9))) + ((((((((((x << 1) | (- 98)) + (((x << 1) & 256) | (- 260))) - ((((x & 36) | 9) ^ (x | (- 49))) + (x & 128))) + (x ^ 180)) + (- 71)) + ((x & 180) ^ 57)) - ((x | (- 49)) & (- 139))) + ((x & 52) ^ 36)) + (x | (- 49))))))), Size: 839, OrigSize: 839, VarNum: 2, IsPoly: false, AlterOrig: 50, AlterDeob: 75, RuleNumber: 193, RuleCount: 896, LinearReduce: 0, SynthReduce: 0, RuleReduce: 839, Time: 63.000000
Name: target_1000, Result: ((((y & x) & (172 ^ 1)) + ((y & x) | (- 173))) + (((y & x) & (- 2)) ^ 173)), Size: 23, OrigSize: 76, VarNum: 2, IsPoly: false, AlterOrig: 4, AlterDeob: 3, RuleNumber: 193, RuleCount: 1, LinearReduce: 6, SynthReduce: 47, RuleReduce: 23, Time: 63.000000
Name: target_1001, Result: ((((((((((((((((((((((((- 126) + ((~ (y & x)) | (- 33))) + ((((- 128) & x) & y) ^ (- 100))) + (((y & x) & (- 74)) ^ (- 32))) + ((((y & x) << 1) & 44) ^ 62)) + (((((- 96) & x) & y) | (((1 & x) & y) | 14)) ^ (- 96))) + (1 & (y & x))) + 1) + ((((((109 & x) & y) ^ 1) | ((1 & x) & y)) << 1) | 1)) + (- (((1 & x) & y) + (((x & y) ^ (- 74)) ^ ((~ (x & y)) & 73))))) + ((y & x) ^ 94)) + (1 | (y & x))) + (((x & y) ^ (- 74)) & (~ ((y & 1) & x)))) + ((y & 1) & x)) + (((x & y) ^ (- 74)) | ((y & 1) & x))) + (- (((~ 1) & (y & x)) ^ (- 74)))) + (((~ (x & y)) & 73) | 31)) + (((~ (x & y)) & 73) | (- 32))) + ((y & x) ^ 1)) + (~ ((108 & x) & y))) + (((~ (x & y)) & 73) | (- 32))) + ((~ (x & y)) & 9)) + (((~ (x & y)) & 73) ^ 31)) + ((y & x) | 109)), Size: 225, OrigSize: 283, VarNum: 2, IsPoly: false, AlterOrig: 21, AlterDeob: 32, RuleNumber: 193, RuleCount: 710, LinearReduce: 23, SynthReduce: 35, RuleReduce: 225, Time: 63.000000
Name: target_101, Result: (x | y), Size: 3, OrigSize: 15, VarNum: 2, IsPoly: false, AlterOrig: 1, AlterDeob: 0, RuleNumber: 193, RuleCount: 0, LinearReduce: 3, SynthReduce: 9, RuleReduce: 3, Time: 2.000000
Name: target_102, Result: (x & y), Size: 3, OrigSize: 3, VarNum: 2, IsPoly: true, AlterOrig: 0, AlterDeob: 0, RuleNumber: 193, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 3, Time: 1.000000
Name: target_103, Result: ((((((((((((((((((- 28) + ((- 1) * (x | y))) + ((y | (~ x)) | 33)) + ((y | (~ x)) & 1)) + (((~ (y | x)) << 1) | (- 278))) + ((y | x) & 138)) + (((y | x) & 130) ^ 250)) + (((y | x) & 8) ^ 8)) + (((y | x) << 1) | 2)) + ((x & (~ y)) | (- 87))) + (((x & (~ y)) & (- 87)) ^ 1)) + ((y | (~ x)) ^ (- 33))) + ((y | (~ x)) & (- 33))) + (y | (x & (~ 1)))) + (~ 0)) + (((x & (~ y)) & 1) << 1)) + ((x & (~ y)) | (- 2))) + ((y | x) ^ (- 140))), Size: 131, OrigSize: 149, VarNum: 2, IsPoly: false, AlterOrig: 12, AlterDeob: 22, RuleNumber: 193, RuleCount: 398, LinearReduce: 5, SynthReduce: 13, RuleReduce: 131, Time: 61.000000
Name: target_104, Result: (((((x | ((((((y | (- y)) & (- 83)) ^ 83) + (y & 1)) + (y & 1)) + ((((((((((((((((y | (- y)) & 82) ^ ((x & (- x)) | 43)) ^ 2147483584) | (- y)) + ((((y | (- y)) & 80) ^ 20) | ((x & (- x)) | 43))) << 1) + (((((y | (- y)) & 82) ^ ((x & (- x)) | 43)) ^ (- y)) ^ 63)) + ((((- y) ^ y) & 128) | (- 198))) + (((y | (- y)) & 80) ^ 99)) + (((y | (- y)) & 80) | 5)) + ((- x) ^ x)) - ((x | (- x)) ^ ((43 & (- x)) & x))) + ((((- y) ^ y) & 132) ^ (- 94))) + (y & (- y))) + 1))) + (x | ((((- y) ^ y) - (y ^ (- y))) + (((- x) ^ x) - ((x ^ (- x)) + y))))) | (- (x ^ (- y)))) + (((x | (- y)) << 1) | (- (x ^ (- y))))) - (((x | (- y)) << 1) ^ (- (x ^ ((((((y * 6) & 4) | (- 70)) - ((- y) & 3)) + (((((((((((((((((((- y) & 47) ^ (- 227)) + ((((- y) & 47) << 1) ^ 196)) + (((y << 1) & 2) ^ 70)) + ((- y) & 3)) + (((- y) & 39) ^ (- 98))) + 112) + ((((y * 126) & 76) ^ 10) ^ (((- y) & 39) ^ (- 5)))) + (((((y * 126) & 76) ^ 10) & (((- y) & 39) ^ (- 5))) << 1)) + (((y * 126) & 92) ^ 194)) + 101) + (((y * 126) & 74) ^ (- 196))) + (((y * 126) & 92) ^ (- 41))) + (((- y) ^ 47) + 1)) + ((y * 126) | (- 66))) + 15) + (((y * 30) | (- 30)) | (((- y) & 47) ^ (- 50)))) + (((y * 30) | (- 30)) & (((- y) & 47) ^ (- 50))))) + 37))))), Size: 354, OrigSize: 367, VarNum: 2, IsPoly: false, AlterOrig: 25, AlterDeob: 38, RuleNumber: 193, RuleCount: 528, LinearReduce: 0, SynthReduce: 13, RuleReduce: 354, Time: 62.000000
Name: target_105, Result: (((((((1 + ((y | x) | (- 27))) + ((y | x) | (- 25))) + ((y | x) & 26)) + ((y | x) ^ (- 2))) + (((y | x) | 1) ^ 26)) + (((y | x) | 1) & 25)) + (((y | x) & (- 2)) ^ 25)), Size: 53, OrigSize: 63, VarNum: 2, IsPoly: true, AlterOrig: 5, AlterDeob: 10, RuleNumber: 193, RuleCount: 68, LinearReduce: 10, SynthReduce: 0, RuleReduce: 53, Time: 63.000000
Name: target_106, Result: (x & y), Size: 3, OrigSize: 19, VarNum: 2, IsPoly: false, AlterOrig: 1, AlterDeob: 0, RuleNumber: 193, RuleCount: 0, LinearReduce: 2, SynthReduce: 14, RuleReduce: 3, Time: 13.000000
Name: target_107, Result: ((((((((((145 + ((((y & x) & 23) | ((((y & x) << 1) & 8) | 64)) ^ (- 250))) + ((y & x) & 1)) + ((((~ (y & x)) << 1) & 2) | 100)) + ((y & x) ^ (- 2))) + ((y & x) | (- 2))) + ((y & x) & (- 24))) + ((((y & x) & 23) ^ (- 23)) | 52)) + ((((y & x) & 23) ^ (- 23)) & (- 53))) + ((y & x) & 1)) + ((y & x) | 1)), Size: 93, OrigSize: 106, VarNum: 2, IsPoly: false, AlterOrig: 9, AlterDeob: 16, RuleNumber: 193, RuleCount: 384, LinearReduce: 13, SynthReduce: 0, RuleReduce: 93, Time: 62.000000
