Name: target_10, Result: ((((((a & (- d)) | (- 44)) ^ ((((d & 8) | (- d)) | a) & ((- a) & 110))) | ((((a & (- d)) | (- 44)) & ((((d & 8) | (- d)) | a) & ((- a) & 110))) & 14)) + (((((((((((((((((((((((((((((d | (((a & (- d)) | 4) & ((a | (- d)) & ((- a) & 6)))) << 1) | 242) + (((((a & (- d)) & 42) | (- a)) << 1) | (- 222))) - (((d | 57) ^ ((((a & (- d)) | 4) & ((((d & 8) | (- d)) | a) & ((- a) & 14))) | 113)) + (((- a) | (- 111)) ^ ((a & (- d)) & 43)))) + (((d & 8) & ((d + 15) & (~ a))) | (- 15))) + (0 & 1)) + (((((d & a) / (~ 0)) & (- 2)) + ((a & d) | (- 2))) + 2)) + (((- a) ^ 110) + 1)) + (((a & (- d)) ^ 43) + 1)) - ((d & 9) ^ (a | (- d)))) + ((((((- a) & 110) | (- d)) | a) & (d & 48)) ^ (d | 57))) + (((((- a) & 110) | (- d)) | a) & (d & 48))) - ((d | 57) ^ (((((d & 9) | (- d)) | ((- a) & 110)) | a) & (d & 48)))) + 113) + ((((((d & 8) | (- d)) | a) & ((a & (- d)) | 68)) & ((- a) & 110)) ^ (- 113))) + ((((((d & 9) | (- d)) | ((- a) & 110)) | a) ^ (d & 48)) ^ (((- a) | (- 111)) ^ (a | (- d))))) + ((((- a) | (- 111)) ^ (a | (- d))) | (~ (((((d & 9) | (- d)) | ((- a) & 110)) | a) ^ (d & 48))))) + (((((d & 9) | (- d)) | ((- a) & 110)) | a) ^ (d & 48))) + 1) + ((((((d & 9) | (- d)) | ((- a) & 110)) | a) ^ (d & 48)) & (((- a) | (- 111)) ^ (a | (- d))))) + ((((((d & 8) | (- d)) | a) & ((a & (- d)) | 68)) & ((- a) & 110)) & (~ (((((d & 9) | (- d)) | ((- a) & 110)) | a) & (d & 48))))) + (((((d & 9) | (- d)) | ((- a) & 110)) | a) & (d & 48))) + ((((((d & 8) | (- d)) | a) & ((a & (- d)) | 68)) & ((- a) & 110)) | (((((d & 9) | (- d)) | ((- a) & 110)) | a) & (d & 48)))) - ((((((d & 8) | (- d)) | a) & ((a & (- d)) | 68)) & ((- a) & 110)) ^ (((((d & 9) | (- d)) | ((- a) & 110)) | a) & (d & 48)))) + (- 155)) + ((a | (- d)) | (~ ((- a) | (- 111))))) + 1) + (((- a) | (- 111)) & (a | (- d))))) & (~ d)), Size: 540, OrigSize: 551, VarNum: 2, IsPoly: false, AlterOrig: 41, AlterDeob: 44, RuleNumber: 162, RuleCount: 61, LinearReduce: 3, SynthReduce: 8, RuleReduce: 540, Time: 62.000000
Name: target_100, Result: ((((- a) ^ 15) + ((((- a) << 1) & 44) ^ 32)) + (((((((((((((((((((((((((((((((((((((((((((a & c) << 1) & 264) | (- 378)) - ((((a & c) & 132) | (- 189)) ^ ((a & c) & 1))) + (((- b) & 165) | (- 174))) + ((- b) & (- 176))) + ((b * 30) | (- 18))) + (c & ((((~ b) & (b - 1)) | 1) + ((((~ b) | (- b)) - b) & 1)))) - (b ^ ((- c) | (- 36)))) + (((a | c) ^ (- 6)) + 1)) + (((a & c) & 164) ^ 157)) + (a & 1)) + (((a & c) & 1) ^ (((- a) & 16) | 1))) + (((a & c) & 1) | (- 146))) + ((((- a) & 24) | 1) | (((a & c) & 11) | (- 146)))) - ((((- a) & 24) | 1) ^ (((a & c) & 11) | (- 146)))) + ((b | ((- c) | (- 36))) ^ ((a & c) | (- 133)))) + ((a & c) | (- 133))) + (b | ((- c) | (- 36)))) + 1) + ((b | ((- c) | (- 36))) & ((a & c) | (- 133)))) + ((b & (~ ((- c) | (- 36)))) & 33)) + 6) + ((b & (~ ((- c) | (- 36)))) | 6)) + (((b & (~ ((- c) | (- 36)))) ^ (- 7)) + 1)) + (((- b) & 10) ^ 125)) + ((a | c) & (- 6))) + 206) + c) + 25) + (((a & c) & 11) ^ 145)) + ((((- c) & (- 36)) ^ (- 173)) ^ ((- c) & (- 176)))) + ((- c) & 35)) + (- 35)) + a) + ((a | c) | 5)) + (((a & c) & (- 176)) | 9)) + (((- c) & (- 36)) | 173)) + (((- c) & (- 36)) ^ 172)) + (((- c) & (- 36)) ^ (- 173))) + 1) + ((- a) | (- 26)))), Size: 350, OrigSize: 353, VarNum: 3, IsPoly: false, AlterOrig: 28, AlterDeob: 45, RuleNumber: 162, RuleCount: 462, LinearReduce: 0, SynthReduce: 3, RuleReduce: 350, Time: 63.000000
Name: target_101, Result: (~ ((d & (~ (a << 1))) + c)), Size: 9, OrigSize: 9, VarNum: 3, IsPoly: false, AlterOrig: 2, AlterDeob: 2, RuleNumber: 162, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 9, Time: 66.000000
Name: target_102, Result: (b & (b * ((((((((- a) & 112) & (b ^ 70)) ^ (- 154)) + ((((- a) & 112) & (b ^ 70)) & 96)) + (((- a) & 96) & (b ^ 70))) + ((((((((((((((((((((((((((((((((((((((((((((((((b + 63) & 40) | 87) + (((((a + 127) | 17) & (- b)) ^ ((- b) | 64)) & 87)) + (((- a) & 112) | (b ^ 70))) + (((((- a) & 4) | (- b)) << 1) | 150)) + (a & ((a + (- 2)) - (((a ^ 35) + ((a << 1) | (- 72))) + ((b * b) + 36))))) + (b * b)) + (((- b) ^ (- 105)) + 1)) + (((- a) ^ 112) + 1)) + ((a ^ 148) + 1)) + (((- a) & 64) | 32)) - ((((((- a) & 70) ^ (- b)) + ((((- a) & 64) ^ (a | (- 149))) ^ 85)) + (((- b) | 104) ^ ((- b) & (~ ((- a) & 70))))) + ((- a) & 64))) + (- 124)) + (((a & 128) | (- 141)) & (((- b) & (~ ((- a) & 70))) | (~ ((- b) | 104))))) + (((a & 128) | (- 141)) | (((- b) | 104) & (((- a) & 70) | (b + (- 1)))))) - (((a & 128) | (- 141)) ^ (((- b) | 104) & (((- a) & 70) | (b + (- 1)))))) + ((((- a) & 64) | 1) & (~ ((b & 70) & (((- b) & (- 105)) | 72))))) + ((b & 70) & (((- b) & (- 105)) | 72))) + ((((- a) & 64) | 1) | ((b & 70) & (((- b) & (- 105)) | 72)))) - ((((- a) & 64) | 1) ^ ((b & 70) & (((- b) & (- 105)) | 72)))) + ((a & 148) | ((- a) | 70))) + (- 24)) + ((- a) | (- 71))) + 1) + (((a | (- 192)) & (((- a) & 64) | (- 128))) | 43)) + (- 120)) + ((a & 148) & ((- a) | 70))) + (b | 70)) + 104) + ((((- a) & 70) | (- b)) ^ (- 76))) + ((- a) | (- 49))) + 87) + (b | (- 71))) + 16) + ((b + 127) | (~ ((- a) & 70)))) - b) + (- 74)) + ((((- b) & (- 105)) | 72) | (~ (b & 70)))) + (b & 70)) + 1) + ((a | (- b)) | 104)) + 42) + (((- b) | 104) & a)) + (- 68)) + (b | (- 71))) + (- 1)) + ((b & 70) ^ (((- b) & (- 105)) | 72)))) ^ (- a)))), Size: 469, OrigSize: 469, VarNum: 2, IsPoly: false, AlterOrig: 38, AlterDeob: 44, RuleNumber: 162, RuleCount: 143, LinearReduce: 0, SynthReduce: 0, RuleReduce: 469, Time: 61.000000
Name: target_103, Result: (b & ((((d & 1) | ((d & 1) << 1)) ^ 1) + ((((((((((((((((((((((((((((((((((((b & 17) ^ 9) | ((- d) | (- 26))) + (((b & 17) ^ (- 17)) & ((- d) | (- 26)))) + (((b & 16) | (d & (b & 1))) | 70)) + (((b & 1) & d) + 1)) + ((d | (b | (- 2))) << 1)) - ((((b & 16) | 71) & (d | (- 26))) ^ (b | (- 2)))) + (~ (b & d))) + ((b ^ 17) + 1)) - (b & 16)) + (d ^ 53)) + (- 70)) - ((b & 16) | 71)) + (((((b & 16) ^ 24) | (d | (- 26))) ^ (- 2)) + 1)) + ((d | 25) | ((b & 16) | 71))) + ((d | 25) & ((b & 16) | 71))) + ((b & 1) ^ ((((b & 16) ^ 24) | (d | (- 26))) | 1))) + (- 1)) + ((b & 1) << 1)) + ((d & (- 45)) ^ (- 61))) + (d | (- 2))) + (((- d) & (- 62)) | 44)) + ((- d) & 36)) + (((b & 16) | 71) ^ (d | (- 26)))) + ((d & (- 46)) ^ (- 17))) + (~ (b & 1))) + ((b & 16) | 1)) + 70) + (b & 1)) + (- 1)) + (d ^ 25)) + (- 70)) + ((d | (~ (b & 16))) & (- 2))) + ((b ^ d) & 1)) + (- 13)))), Size: 264, OrigSize: 264, VarNum: 2, IsPoly: false, AlterOrig: 23, AlterDeob: 28, RuleNumber: 162, RuleCount: 77, LinearReduce: 0, SynthReduce: 0, RuleReduce: 264, Time: 64.000000
Name: target_104, Result: (- b), Size: 2, OrigSize: 312, VarNum: 1, IsPoly: false, AlterOrig: 17, AlterDeob: 0, RuleNumber: 162, RuleCount: 0, LinearReduce: 0, SynthReduce: 310, RuleReduce: 2, Time: 2.000000
Name: target_105, Result: (- b), Size: 2, OrigSize: 119, VarNum: 2, IsPoly: false, AlterOrig: 2, AlterDeob: 0, RuleNumber: 162, RuleCount: 17, LinearReduce: 51, SynthReduce: 64, RuleReduce: 4, Time: 39.000000
Name: target_106, Result: (((((d | (e | 48)) | (- 54)) + (d & (- 54))) + ((((((((((((((((((((((((((((((((d & (- 6)) + (- 1)) + (((e | d) & 1) | (((e | d) & 5) ^ (- 133)))) + (((e | d) ^ 5) + 1)) - (((e ^ d) + (c ^ d)) + (((e | d) | (- 6)) & 53))) + ((((c | d) & 95) ^ (- 147)) + 1)) + (((e | d) & 5) | 132)) + (- 132)) + ((d | ((e & 5) | 48)) ^ ((e | d) | (- 6)))) + (((e | d) | (- 6)) | (~ (d | ((e & 5) | 48))))) + 1) + ((d | ((e & 5) | 48)) & ((e | d) | (- 6)))) + (((c | d) | 95) | ((- d) & 139))) + (((c | d) | 95) & ((- d) & 139))) + ((((c & (~ d)) & 1) & (- c)) | (d & (- 6)))) + (d ^ (- 6))) + ((c | d) & 77)) + 147) + (((~ d) & 178) & e)) + ((- d) | 139)) + ((e & (- 180)) | 33)) + (e & 1)) + (((c & (~ d)) & 1) | (- c))) + (((c | d) & 95) | 146)) + ((- e) | 132)) + (- 179)) + (d & 53)) + ((- e) | (- 133))) + (- 40)) + ((c & (~ d)) | 1)) + ((e & (~ d)) | (e ^ (- 179)))) + (e | 178))) ^ ((((((e ^ 72) & (- c)) & (- 184)) ^ ((- c) & (- 36))) + ((((e ^ 72) & (- c)) & (- 184)) << 1)) + ((((((((((((((((((((((((((((((((- c) | 2) ^ (c | (- 192))) | ((- d) | 61)) + ((((- c) | 35) ^ (c | (- 184))) & ((- d) | 61))) + (((((- c) | 35) & (e ^ 55)) & c) | (- 184))) + ((d & ((d - 1) & (- 62))) ^ 127)) + ((d & ((d - 1) & (- 62))) & 66)) + (d & ((d + 127) & 66))) + ((e << 1) | (- 256))) - ((e & 127) ^ (e | (- 128)))) + (e & (~ (c + d)))) + (e ^ (- (d * c)))) + ((e & (- (d * c))) << 1)) + (((- c) ^ (- 36)) + 1)) - (((d ^ ((- d) | 61)) + ((- d) & 61)) + ((- c) & (- 36)))) + (d | ((- d) | 61))) + 1) + ((- d) & 61)) + 89) + (((c & 8) | (((- 184) & c) ^ 57)) & (e - 1))) + (((c & 8) | (((- 184) & c) ^ 57)) | (- e))) - (e + (((c & 8) | (((- 184) & c) ^ 57)) ^ (- e)))) + ((- c) & (- 36))) + 35) + ((- c) | 35)) + ((e ^ 127) | (((- c) | 35) & (c | (- 184))))) + 1) + ((- d) & 61)) + 57) + (((- 184) & c) | (- 58))) + ((c | (- 184)) | (~ ((- c) | 35)))))), Size: 547, OrigSize: 550, VarNum: 3, IsPoly: false, AlterOrig: 51, AlterDeob: 63, RuleNumber: 162, RuleCount: 3430, LinearReduce: 0, SynthReduce: 1, RuleReduce: 549, Time: 61.000000
Name: target_107, Result: (- ((((- 76) + (86 + ((- 10) + ((d * (d - e)) * e)))) & e) + (6 + (9 + ((- 15) + ((d * e) | ((- 8) + (103 + ((- 95) + ((((- d) | e) << 1) + (- (e ^ (- d))))))))))))), Size: 50, OrigSize: 71, VarNum: 2, IsPoly: false, AlterOrig: 3, AlterDeob: 3, RuleNumber: 162, RuleCount: 98, LinearReduce: 4, SynthReduce: 14, RuleReduce: 53, Time: 79.000000
Name: target_108, Result: ((((((((((d | (- d)) & 64) | (d & (- d))) << 1) | (- 194)) - (((((d | (- d)) & 72) | 23) & ((d | (- d)) | 90)) ^ ((d & (- d)) | (- 113)))) + ((((((((d | (- d)) << 1) | 190) - (((d | (- d)) | 95) ^ ((d | (- d)) & 18))) + ((d & (- d)) & (- 113))) + ((b | (- b)) << 1)) - (b ^ (- b))) + (d * (d + (b << 1))))) ^ (- b)) + (((((d & 4) | (- 173)) + (d & 1)) + (((((((((((((((((((((d & 66) ^ (- d)) ^ 4) & (~ (d & 4))) << 1) | (- 142)) + (((((d & 66) ^ (- d)) ^ 4) & ((d & 132) ^ 70)) ^ 71)) + (((d << 1) & 8) ^ 142)) + (((d & 128) | ((d & 133) ^ 2147483577)) << 1)) + ((((d & (- 200)) ^ (- d)) ^ (- 236)) | ((d & 132) ^ 70))) + (((d << 1) & 256) | 2)) + (~ (d & 128))) + ((((d & 2147483514) ^ 235) | (- d)) << 1)) + ((d << 1) | (- 214))) + (((d << 1) & 266) ^ (- 44))) - b) + b) + 125) + (d * (d + (b << 1)))) + ((d & 132) ^ 70)) + 2)) & (- b))) + ((((b | (- 10)) + (((b & 144) ^ 52) & (b | (- 46)))) + (((((((((((((((d & (- 18)) | (b & 144)) + ((d & b) & 128)) + ((b & 16) | 66)) + (- 48)) + ((b & (- 46)) ^ 148)) + (d | (- 2))) + ((d & 16) | 10)) - b) + (- 26)) + (d * (((d + (b << 1)) + (- 71)) + ((((d ^ (- 72)) + 1) + ((d << 1) | 142)) - d)))) + 20) - d) + (- 174)) + (b & 16))) & (- b))), Size: 346, OrigSize: 346, VarNum: 2, IsPoly: false, AlterOrig: 20, AlterDeob: 25, RuleNumber: 162, RuleCount: 1850, LinearReduce: 0, SynthReduce: 0, RuleReduce: 346, Time: 61.000000
Name: target_109, Result: ((((c & (- 256)) | 130) + ((((((((((((((((((((((((((((((((((((((c + 15) & 8) | 65) + ((- d) | (- 127))) + (((- d) & (- 255)) | 128)) + (((c & (- 127)) | ((d & (- 56)) ^ 128)) << 1)) - ((c & (- 127)) ^ (((c & (- 127)) | 128) ^ (d & (- 56))))) + ((~ (c & (- 127))) << 1)) + (((c * 126) & 84) | 2)) + ((c << 1) | (- 254))) - ((c | (- 127)) + ((c << 1) & (((c * d) + 19) + ((((d << 1) | (- 38)) + ((d ^ 18) + 1)) - d))))) + ((((- c) & 43) ^ (- 74)) + 1)) + (((d & 55) ^ 54) + 1)) + (((- c) & 8) | (- 77))) + (((c & (- 127)) | 128) & (- 128))) + (((((c & (- 127)) | 128) & ((- c) | (- 44))) ^ (- 2)) + 1)) + ((d | (- 55)) | (~ (d | (- 55))))) + (d | (- 55))) + (d | (- 55))) + (((c & (- 127)) | ((- c) | (- 44))) & ((- c) ^ (- 44)))) + ((- c) ^ 43)) + (((c & (- 127)) | ((- c) | (- 44))) | ((- c) ^ 43))) - (((c & (- 127)) | ((- c) | (- 44))) ^ ((- c) ^ 43))) + (d & ((- d) & 128))) + (- 73)) + ((((- c) & 43) ^ (- 2)) | (- 73))) + 5) + (((- d) & 128) ^ ((d & (- 56)) | (~ ((c & (- 127)) | 128))))) + (d | (~ ((- d) & 128)))) + ((- d) & 128)) + (c | 126)) + (c & (- 127))) + 42) + (((c & 128) | ((c & (- 127)) ^ (- 47))) | 44)) + (((c & (- 127)) | 128) & (d & (- 56)))) + (- 43)) + (((((- c) & 43) ^ (- 2)) & 72) | 5)) + 3)) ^ (- d)), Size: 352, OrigSize: 362, VarNum: 2, IsPoly: false, AlterOrig: 26, AlterDeob: 33, RuleNumber: 162, RuleCount: 5473, LinearReduce: 0, SynthReduce: 0, RuleReduce: 362, Time: 63.000000
