Name: target_0, Result: (x | y), Size: 3, OrigSize: 1350, VarNum: 2, IsPoly: false, AlterOrig: 55, AlterDeob: 0, RuleNumber: 977, RuleCount: 18, LinearReduce: 0, SynthReduce: 1311, RuleReduce: 39, Time: 2.000000
Name: target_1, Result: (x | y), Size: 3, OrigSize: 536, VarNum: 2, IsPoly: false, AlterOrig: 43, AlterDeob: 0, RuleNumber: 977, RuleCount: 218, LinearReduce: 318, SynthReduce: 191, RuleReduce: 27, Time: 31.000000
Name: target_10, Result: (x & y), Size: 3, OrigSize: 1775, VarNum: 2, IsPoly: false, AlterOrig: 151, AlterDeob: 0, RuleNumber: 977, RuleCount: 129, LinearReduce: 0, SynthReduce: 1591, RuleReduce: 184, Time: 2.000000
Name: target_100, Result: (x & y), Size: 3, OrigSize: 1702, VarNum: 2, IsPoly: false, AlterOrig: 122, AlterDeob: 0, RuleNumber: 977, RuleCount: 90, LinearReduce: 0, SynthReduce: 1659, RuleReduce: 43, Time: 2.000000
Name: target_101, Result: (((~ ((~ ((((((- (((((- y) ^ y) | y) & (~ ((- y) & y))) ^ (- y))) + (x + y)) ^ y) + (- ((y & ((((x + y) + (- (((- (((((~ ((- (~ ((- ((y << 1) & (~ y))) + (~ (- ((y << 1) & (~ y))))))) | (y | (y + y)))) & (y | (y + y))) | (- ((- ((y << 1) & (~ y))) - (- ((y << 1) & (~ y)))))) + (y | (y + y))) + (- ((y << 1) & (~ y))))) ^ y) ^ (- y)))) ^ y) | (- y))) & (((x + y) + (- (((- (((y | (y + y)) + (- (~ ((- ((y << 1) & (~ y))) + (~ (- ((y << 1) & (~ y)))))))) + (- ((y << 1) & (~ y))))) ^ y) ^ (- y)))) ^ y)))) & (x ^ y)) + y)) & (~ ((((x + y) + (- (((- ((y | (y + y)) + (- (((y | (y + y)) ^ ((- (y | (y + y))) + (y + (y | (y + y))))) & (y | (y << 1)))))) ^ y) ^ (- y)))) ^ y) ^ y)))) | (y & (- y))) | y), Size: 215, OrigSize: 639, VarNum: 2, IsPoly: false, AlterOrig: 88, AlterDeob: 44, RuleNumber: 977, RuleCount: 657, LinearReduce: 52, SynthReduce: 279, RuleReduce: 308, Time: 61.000000
Name: target_102, Result: ((((((((- x) | (((- ((~ x) & (- x))) & (- x)) | ((- x) & (~ x)))) ^ (- 1)) + (- y)) + ((~ ((- ((- ((- (((~ (((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) + ((x + (- (x + (- ((x - 1) | x))))) & (~ (- x)))) ^ (- 1)) ^ ((- x) | (~ (x + (- ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) + (~ (x + (- ((x - 1) | x))))))))))))) + (- y)) + ((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) ^ (- 1)) + (- y)))) ^ ((- (((~ (((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) + ((x + (- (x + (- ((x - 1) | x))))) & (~ (- x)))) ^ (- 1)) ^ ((- x) | (~ (x + (- ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) + (~ (x + (- ((x - 1) | x))))))))))))) + (- y)) + ((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) ^ (- 1)) + (- y)))) ^ ((- (((~ (((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) + ((x + (- (x + (- ((x - 1) | x))))) & (~ (- x)))) ^ (- 1)) ^ ((- x) | (~ (x + (- ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) & ((x + (- ((x - 1) | x))) + (~ (x + (- ((x - 1) | x))))))))))))) + (- y)) + ((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) ^ (- 1)) + (- y)))) + ((((- x) | (~ (x + (- (x + (- ((x - 1) | x))))))) ^ (- 1)) + (- y)))))) | ((((- x) | (~ (x + (- (x + ((- ((x - 1) | x)) | (~ ((~ (- ((x - 1) | x))) | y)))))))) ^ (- 1)) + (- y)))) | ((~ (- x)) + (- y)))) & ((y - x) ^ (~ 0)))) & (~ ((~ ((~ (((((~ (((~ 1) - x) | y)) | (~ y)) ^ y) ^ (- x)) + (- y))) | y)) ^ y))) + (- (y - x))) | (x + (- y))), Size: 450, OrigSize: 754, VarNum: 2, IsPoly: false, AlterOrig: 120, AlterDeob: 97, RuleNumber: 977, RuleCount: 500, LinearReduce: 119, SynthReduce: 131, RuleReduce: 504, Time: 61.000000
Name: target_103, Result: (x | y), Size: 3, OrigSize: 561, VarNum: 2, IsPoly: false, AlterOrig: 48, AlterDeob: 0, RuleNumber: 977, RuleCount: 129, LinearReduce: 31, SynthReduce: 483, RuleReduce: 47, Time: 15.000000
Name: target_104, Result: (((y & (~ ((x + (((- (((~ x) + (- (~ ((- ((- (~ ((((x + x) & ((x & (~ y)) / (~ 0))) | ((- 1) * (x & (~ y)))) + (~ x)))) + x)) + x)))) + (~ ((- ((- ((- ((~ (x & (~ y))) + (- x))) + (~ 0))) + x)) + x)))) + (~ ((~ ((- (((~ x) + (- (~ ((2 * x) + ((- 1) * (x & y)))))) + (~ ((- ((- (~ (((((x + x) & (- (x & (~ y)))) & ((x & (~ y)) | (- (x & (~ y))))) | (- (x & (~ y)))) + (~ x)))) + x)) + x)))) & (~ ((2 * x) + ((- 1) * (x & y)))))) & ((2 * x) + ((- 1) * (x & y)))))) & ((- (((~ x) + (- (~ ((2 * x) + ((- 1) * (x & y)))))) + (~ ((2 * x) + ((- 1) * (x & y)))))) + (~ ((- ((- (~ ((((x + x) & ((- 1) * (x & (~ y)))) | (- (x & (~ y)))) + (~ x)))) + x)) + x))))) + (~ y)))) ^ y) & y), Size: 205, OrigSize: 1265, VarNum: 2, IsPoly: false, AlterOrig: 174, AlterDeob: 46, RuleNumber: 977, RuleCount: 2181, LinearReduce: 651, SynthReduce: 208, RuleReduce: 406, Time: 61.000000
Name: target_105, Result: (x & y), Size: 3, OrigSize: 1315, VarNum: 2, IsPoly: false, AlterOrig: 105, AlterDeob: 0, RuleNumber: 977, RuleCount: 184, LinearReduce: 0, SynthReduce: 1220, RuleReduce: 95, Time: 3.000000
Name: target_106, Result: (x & y), Size: 3, OrigSize: 929, VarNum: 2, IsPoly: false, AlterOrig: 70, AlterDeob: 0, RuleNumber: 977, RuleCount: 95, LinearReduce: 0, SynthReduce: 389, RuleReduce: 540, Time: 5.000000
Name: target_107, Result: (x & y), Size: 3, OrigSize: 2163, VarNum: 2, IsPoly: false, AlterOrig: 229, AlterDeob: 0, RuleNumber: 977, RuleCount: 221, LinearReduce: 0, SynthReduce: 1271, RuleReduce: 892, Time: 8.000000
