Name: target_10, Result: (x - y), Size: 3, OrigSize: 98, VarNum: 2, IsPoly: false, AlterOrig: 6, AlterDeob: 0, RuleNumber: 294, RuleCount: 0, LinearReduce: 92, SynthReduce: 0, RuleReduce: 6, Time: 1.000000
Name: target_100, Result: ((((((((6 + ((- 2) * x)) + (5 * y)) + ((- 8) * (x & y))) + (y & ((- 6) * (x ^ y)))) + (7 * (y & (~ ((- 6) * (x ^ y)))))) + (7 * (~ (y ^ ((- 6) * (x ^ y)))))) + (- (~ (y | ((- 6) * (x ^ y)))))) + (7 * (~ (y | (~ ((- 6) * (x ^ y))))))), Size: 74, OrigSize: 92, VarNum: 2, IsPoly: false, AlterOrig: 4, AlterDeob: 10, RuleNumber: 294, RuleCount: 0, LinearReduce: 18, SynthReduce: 0, RuleReduce: 74, Time: 62.000000
Name: target_1000, Result: ((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((- 2) * ((~ (x ^ y)) | (~ (x ^ z)))) - (~ (x & ((~ y) | z)))) - (~ (x | (y ^ z)))) + ((~ (x | y)) | (y ^ z))) - (2 * (x & ((~ y) | z)))) - (7 * (~ ((~ x) | (y & z))))) - (7 * ((~ x) & (y ^ z)))) + (7 * (y | z))) + (z ^ (x & ((~ y) | z)))) + (z ^ (~ (x | y)))) + (z ^ (~ ((~ x) & ((~ y) | z))))) - (6 * (~ (x | (~ y))))) - (3 * x)) + (2 * ((~ z) & (~ (x ^ y))))) + (7 * ((x | y) & (x ^ (y ^ z))))) + (z ^ (~ (x & ((~ y) | z))))) + (2 * (x ^ (y & z)))) + ((~ z) | (~ (x ^ y)))) - (3 * (y ^ ((~ x) & (y ^ z))))) + (2 * (y ^ z))) + (2 * (y & (~ z)))) + (~ ((~ x) | (y ^ z)))) - (3 * ((~ y) | (x ^ z)))) - (7 * ((~ y) & (~ (x ^ z))))) + (5 * (y ^ (~ ((~ x) & (y | z)))))) + (4 * ((~ (x & (~ y))) & (~ (y ^ z))))) - (2 * (z & (x | (~ y))))) - (11 * ((x & (~ y)) | (~ (x ^ (y ^ z)))))) - (2 * ((~ (x | y)) | (~ (x ^ (y ^ z)))))) - (~ (x & ((~ y) & z)))) - (5 * (~ (x ^ ((~ y) & z))))) - (7 * ((~ x) | ((~ y) | z)))) + (7 * (~ (x | ((~ y) & z))))) - (2 * (~ (y ^ z)))) - (~ (x ^ ((~ y) | z)))) - ((x | (~ y)) & (~ (x ^ (y ^ z))))) - (2 * ((~ y) | (~ (x ^ z))))) - (2 * ((~ (x | (~ y))) | (y ^ z)))) - ((x | (~ y)) & (x ^ (y ^ z)))) - (y & (x | z))) + ((~ z) | (x ^ y))) - (7 * (~ (x & (y & z))))) - (z ^ (~ (x & y)))) + (11 * (~ (x ^ z)))) + (7 * (z ^ (x | ((~ y) & z))))) + (3 * (y | (x & z)))) - (5 * ((y & (~ z)) ^ ((~ x) | (y ^ z))))) - (6 * (z ^ (~ (x | (y & z)))))) - (3 * (y | (x & (~ z))))) - (y ^ (x | (y ^ z)))) - (6 * ((~ x) & ((~ y) | z)))) - (6 * (y | (~ (x ^ z))))) + (2 * ((x | (~ y)) & (y ^ z)))) + (z ^ (x | (y & z)))) + (~ ((~ x) & (y & z)))) + (11 * (z & (~ (x ^ y))))) + (3 * ((x ^ y) | (x ^ z)))) - (6 * (~ (x & y)))) - (2 * (~ (x & (~ z))))) - (2 * ((x & y) ^ (~ (x ^ (y & z)))))) - (~ ((~ x) & ((~ y) & z)))) + (4 * ((y & (~ z)) | (~ (x | ((~ y) & z)))))) - (6 * ((y & (~ z)) | (~ ((~ x) | ((~ y) & z)))))) + ((~ (x ^ y)) & (~ (x ^ z)))) - (y ^ (x | (y | z)))) + (3 * (y ^ ((~ x) & ((~ y) | z))))) - (7 * (z ^ ((~ x) | ((~ y) & z))))) + (11 * (~ z))) + (7 * (~ (x ^ y)))) - (5 * (y & (~ (x & z))))) - (7 * ((x | y) & (~ (x ^ (y ^ z)))))) + (5 * (y ^ (x & (y | z))))) - (z ^ (~ ((~ x) | (y & z))))) + ((x & y) | (~ (x ^ (y ^ z))))) + (z ^ (~ (x | (~ y))))) - (6 * (y ^ (~ ((~ x) & (y ^ z)))))) + (5 * (y ^ (~ (x & (~ z)))))) - ((x & z) ^ (~ (y & (~ z))))) - ((~ (x & y)) & (y ^ z))) - (5 * (~ (x & (~ y))))) - (~ ((~ x) & (y ^ z)))) + (z ^ ((~ x) | ((~ y) | z)))) + (2 * ((x & y) | (~ (y | (~ z)))))) - (11 * ((x ^ y) | (~ (x ^ z))))) + ((y & z) | (x & (y | z)))) - (2 * ((x ^ y) & (x ^ z)))) + (2 * (y ^ (~ (x & (y ^ z)))))) + (5 * (y ^ (x | z)))) + (4 * (y ^ (~ (x | ((~ y) & z)))))) + (5 * (z | (x & (~ y))))) - (z & (~ (x & (~ y))))) + (44 * (~ (x | (y | z))))) + (26 * (~ (x | ((~ y) | z))))) + (34 * (~ ((~ x) | (y | z))))) + (5 * (~ ((~ x) | ((~ y) | z))))) + (12 * ((~ x) & ((~ y) & z)))) + (64 * ((~ x) & (y & z)))) + (54 * (x & ((~ y) & z)))) + (5 * (x & (y & z)))), Size: 947, OrigSize: 1117, VarNum: 3, IsPoly: false, AlterOrig: 39, AlterDeob: 32, RuleNumber: 294, RuleCount: 0, LinearReduce: 170, SynthReduce: 0, RuleReduce: 947, Time: 61.000000
Name: target_1001, Result: (((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((2 * (z ^ (~ ((~ x) & ((~ y) & z))))) + (2 * (y ^ (~ (x & z))))) - (y ^ (x & ((~ y) | z)))) - (11 * (z ^ (x | y)))) - (6 * (y ^ ((~ x) | (y | z))))) - (11 * (~ (x & (~ y))))) - (y ^ (~ (x | (y & z))))) + (5 * (x & ((~ y) | z)))) + (11 * ((~ (x & (~ y))) & (y ^ z)))) - (11 * (x & (y ^ z)))) + ((x & (~ y)) | (y ^ z))) + (11 * (~ ((~ x) & (y ^ z))))) - (z ^ (~ (x & (y | z))))) - (2 * (~ (x & ((~ y) | z))))) + (4 * (x | z))) + (5 * (z & (x ^ y)))) - (z ^ (~ ((~ x) | (y & z))))) + (7 * (~ ((~ x) | (y & z))))) - (6 * (y ^ (~ ((~ x) & ((~ y) | z)))))) - (5 * (z & (x | y)))) - (6 * ((~ y) & (x ^ z)))) + (5 * ((x & z) ^ (~ (y & (~ z)))))) - ((y & (~ z)) ^ (x | (y ^ z)))) + (~ ((~ x) | ((~ y) & z)))) - (7 * (z ^ (~ (x | (~ y)))))) + (~ (x | (~ y)))) - ((x & y) ^ (y | (~ z)))) - (2 * (~ ((~ x) & ((~ y) & z))))) - (7 * ((~ (x ^ y)) & (x ^ z)))) + (2 * (~ (y ^ z)))) - (2 * (~ (x ^ z)))) - (7 * (x ^ z))) + (3 * (x & (~ z)))) + (4 * (x | (~ z)))) - (5 * (y ^ z))) + (x ^ (y ^ z))) + ((~ (x | y)) | (y ^ z))) - (11 * (y & (x | z)))) + (4 * (x ^ ((~ y) | z)))) - (6 * (~ x))) + (11 * (y & (~ (x ^ z))))) - (5 * (z ^ (~ (x | ((~ y) & z)))))) - (y ^ (x | (y ^ z)))) - (2 * (~ (x & (~ x))))) + (5 * (~ (x ^ (y & z))))) - (3 * ((x & y) | (~ (y | z))))) + (5 * (y & (~ (x & z))))) + (z ^ ((~ x) & (y | z)))) + (4 * ((x & (~ y)) | (~ (y ^ z))))) + (5 * ((~ (x | y)) | (~ (x ^ (y ^ z)))))) + (2 * (y ^ ((~ x) | ((~ y) & z))))) - (3 * (~ (x ^ y)))) + (11 * (y ^ ((~ x) | ((~ y) | z))))) + (11 * (x & z))) - ((x & y) | (~ (y ^ z)))) + (5 * (z ^ (~ (x & (~ y)))))) + (3 * (y ^ (~ ((~ x) & (y | z)))))) + (x ^ (y | z))) + (7 * (y | z))) + (7 * ((~ x) & (y | z)))) - (y ^ (x | (~ z)))) + (~ (x & (~ z)))) - (2 * (y ^ (x | ((~ y) & z))))) + (7 * (z ^ (x & (~ y))))) - (7 * ((~ z) | (x ^ y)))) - (~ ((~ x) | (y ^ z)))) + (y ^ ((~ x) | (y ^ z)))) - (3 * (z ^ (x | ((~ y) | z))))) + (3 * (~ (x | (y & z))))) - ((~ (x & (~ y))) & (~ (y ^ z)))) + (2 * (z ^ (~ (x | y))))) + (3 * (z ^ (~ ((~ x) & ((~ y) | z)))))) + (7 * ((x | (~ y)) & (y ^ z)))) - ((~ y) | (~ (x ^ z)))) - (7 * (x | ((~ y) & z)))) + ((x & z) | (y & (~ z)))) + (y | (~ z))) - (11 * ((y & (~ z)) ^ ((~ x) | (y ^ z))))) - (2 * ((~ (x & y)) & (~ (x ^ (y ^ z)))))) + (3 * (~ (y | z)))) - (5 * ((x | y) & (x ^ (y ^ z))))) - (3 * (y ^ (x | (y & z))))) - (2 * ((y & z) ^ (~ ((~ x) & (y ^ z)))))) + (11 * ((x & z) | (~ (y | z))))) - (5 * ((x & y) ^ (x ^ ((~ y) | z))))) + (4 * (x | ((~ y) | z)))) + (5 * ((~ x) | (y | z)))) - (z | (~ (x | y)))) + (2 * (z ^ (x | (y & z))))) - (z | (x & y))) - (z & (x | (~ y)))) - (18 * (~ (x | (y | z))))) - (7 * (~ (x | ((~ y) | z))))) - (23 * (~ ((~ x) | (y | z))))) - (8 * (~ ((~ x) | ((~ y) | z))))) + (8 * ((~ x) & ((~ y) & z)))) + ((~ x) & (y & z))) - (26 * (x & ((~ y) & z)))) - (25 * (x & (y & z)))), Size: 914, OrigSize: 1114, VarNum: 3, IsPoly: false, AlterOrig: 30, AlterDeob: 27, RuleNumber: 294, RuleCount: 0, LinearReduce: 200, SynthReduce: 0, RuleReduce: 914, Time: 61.000000
Name: target_1002, Result: (((((((((((((3 * (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) & ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t))))) - (6 * (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) & (~ ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t))))))) + (7 * (~ (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) & ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t))))))) - (~ (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) & (~ ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t))))))) - (6 * (~ (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) | ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t))))))) - (5 * (~ (((((x & y) | (x ^ (y ^ z))) & (~ t)) | ((~ (x ^ (y | z))) & t)) | (~ ((- 1) * (((~ (x ^ y)) & (~ t)) | ((x & z) & t)))))))) - (5 * ((((~ z) & (x ^ y)) & (~ t)) | (((~ (x & (~ y))) & (~ (y ^ z))) & t)))) + (~ (x | (y | (z | t))))) + (4 * (~ (x | ((~ y) | (z | t)))))) + (4 * (~ ((~ x) | (y | (z | t)))))) + (4 * ((~ x) & ((~ y) & ((~ z) & t))))) - (x & (y & ((~ z) & t)))) + (5 * ((~ x) & (y & (z & t))))), Size: 341, OrigSize: 341, VarNum: 4, IsPoly: false, AlterOrig: 9, AlterDeob: 15, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 341, Time: 62.000000
Name: target_1003, Result: (((((((((((((((6 * (((((~ (x | (~ y))) | (~ (x ^ (y ^ z)))) & (~ t)) | ((z | (x & (~ y))) & t)) & ((- 6) * ((((~ (x & y)) & (~ (y ^ z))) & (~ t)) | (((x & y) ^ (x ^ ((~ y) | z))) & t))))) + (6 * (((((~ (x | (~ y))) | (~ (x ^ (y ^ z)))) & (~ t)) | ((z | (x & (~ y))) & t)) & (~ ((- 6) * ((((~ (x & y)) & (~ (y ^ z))) & (~ t)) | (((x & y) ^ (x ^ ((~ y) | z))) & t))))))) - (5 * ((((~ (x | (~ y))) | (~ (x ^ (y ^ z)))) & (~ t)) | ((z | (x & (~ y))) & t)))) + (~ (((((~ (x | (~ y))) | (~ (x ^ (y ^ z)))) & (~ t)) | ((z | (x & (~ y))) & t)) & (~ ((- 6) * ((((~ (x & y)) & (~ (y ^ z))) & (~ t)) | (((x & y) ^ (x ^ ((~ y) | z))) & t))))))) - (~ (((((~ (x | (~ y))) | (~ (x ^ (y ^ z)))) & (~ t)) | ((z | (x & (~ y))) & t)) | ((- 6) * ((((~ (x & y)) & (~ (y ^ z))) & (~ t)) | (((x & y) ^ (x ^ ((~ y) | z))) & t)))))) - ((((y & z) ^ (~ (x & (y ^ z)))) & (~ t)) | ((y ^ (x | z)) & t))) + (6 * (~ (x | (y | (z | t)))))) + (7 * (~ ((~ x) | (y | (z | t)))))) - (~ ((~ x) | ((~ y) | (z | t))))) + (~ (x | (y | ((~ z) | t))))) - (~ ((~ x) | (y | ((~ z) | t))))) + (6 * ((~ x) & ((~ y) & ((~ z) & t))))) + (6 * ((~ x) & ((~ y) & (z & t))))) + (5 * ((~ x) & (y & (z & t))))) + (5 * (x & (y & (z & t))))), Size: 373, OrigSize: 373, VarNum: 4, IsPoly: false, AlterOrig: 10, AlterDeob: 14, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 373, Time: 61.000000
Name: target_1004, Result: (((((((((((((((((2 * (((- 2) * (((z ^ (x | ((~ y) | z))) & (~ t)) | ((~ (y ^ z)) & t))) & (~ (((y & (~ (x & z))) & (~ t)) | ((z & (x | (~ y))) & t))))) - ((- 2) * (((z ^ (x | ((~ y) | z))) & (~ t)) | ((~ (y ^ z)) & t)))) + (3 * (~ (((- 2) * (((z ^ (x | ((~ y) | z))) & (~ t)) | ((~ (y ^ z)) & t))) & (~ (((y & (~ (x & z))) & (~ t)) | ((z & (x | (~ y))) & t))))))) - (3 * (~ (((- 2) * (((z ^ (x | ((~ y) | z))) & (~ t)) | ((~ (y ^ z)) & t))) | (((y & (~ (x & z))) & (~ t)) | ((z & (x | (~ y))) & t)))))) - (2 * (~ (((- 2) * (((z ^ (x | ((~ y) | z))) & (~ t)) | ((~ (y ^ z)) & t))) | (~ (((y & (~ (x & z))) & (~ t)) | ((z & (x | (~ y))) & t))))))) + (4 * ((((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & (~ t)) | ((~ (x & (y ^ z))) & t)))) - (2 * (~ (x | (y | (z | t)))))) - (~ (x | ((~ y) | (z | t))))) + (2 * (~ ((~ x) | (y | (z | t)))))) - (3 * (~ ((~ x) | ((~ y) | (z | t)))))) - (5 * (~ (x | ((~ y) | ((~ z) | t)))))) - (2 * ((~ x) & ((~ y) & ((~ z) & t))))) - (4 * ((~ x) & (y & ((~ z) & t))))) - (2 * (x & ((~ y) & ((~ z) & t))))) - (2 * ((~ x) & (y & (z & t))))) - (x & ((~ y) & (z & t)))) - (3 * (x & (y & (z & t))))), Size: 352, OrigSize: 352, VarNum: 4, IsPoly: false, AlterOrig: 6, AlterDeob: 11, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 352, Time: 61.000000
Name: target_1005, Result: (((((((((((((((((((2 * (((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t))) & ((- 7) * (((y ^ ((~ x) & ((~ y) | z))) & (~ t)) | ((~ (x & (y | z))) & t))))) + (12 * (((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t))) & (~ ((- 7) * (((y ^ ((~ x) & ((~ y) | z))) & (~ t)) | ((~ (x & (y | z))) & t))))))) - (11 * (~ (((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t))) & ((- 7) * (((y ^ ((~ x) & ((~ y) | z))) & (~ t)) | ((~ (x & (y | z))) & t))))))) + (7 * (~ (((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t))) | ((- 7) * (((y ^ ((~ x) & ((~ y) | z))) & (~ t)) | ((~ (x & (y | z))) & t))))))) + (8 * (~ (((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t))) | (~ ((- 7) * (((y ^ ((~ x) & ((~ y) | z))) & (~ t)) | ((~ (x & (y | z))) & t)))))))) + (4 * (~ ((- 6) * (((~ (y | (~ z))) & (~ t)) | ((y ^ (~ (x & (y ^ z)))) & t)))))) - (6 * ((((x & (~ y)) | (y ^ z)) & (~ t)) | (((~ (x | (~ y))) | (~ (y ^ z))) & t)))) + (7 * (~ (x | (y | (z | t)))))) + (13 * (~ (x | ((~ y) | (z | t)))))) + (6 * (~ ((~ x) | (y | (z | t)))))) + (13 * (~ ((~ x) | ((~ y) | (z | t)))))) + (19 * (~ (x | (y | ((~ z) | t)))))) + (12 * (~ ((~ x) | (y | ((~ z) | t)))))) + (7 * (~ ((~ x) | ((~ y) | ((~ z) | t)))))) + (19 * ((~ x) & ((~ y) & ((~ z) & t))))) + (19 * (x & ((~ y) & ((~ z) & t))))) + (6 * (x & (y & ((~ z) & t))))) + (13 * ((~ x) & ((~ y) & (z & t))))) + (6 * (x & (y & (z & t))))), Size: 452, OrigSize: 452, VarNum: 4, IsPoly: false, AlterOrig: 5, AlterDeob: 16, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 452, Time: 61.000000
Name: target_1006, Result: (((((((((((((((((((8 * (((((x | (~ y)) & (x ^ (y ^ z))) & (~ t)) | (((x & (~ y)) | (y ^ z)) & t)) & (5 * (((~ ((~ x) | (y | z))) & (~ t)) | ((y ^ ((~ x) | (y & z))) & t))))) + (((((x | (~ y)) & (x ^ (y ^ z))) & (~ t)) | (((x & (~ y)) | (y ^ z)) & t)) & (~ (5 * (((~ ((~ x) | (y | z))) & (~ t)) | ((y ^ ((~ x) | (y & z))) & t)))))) - (6 * (5 * (((~ ((~ x) | (y | z))) & (~ t)) | ((y ^ ((~ x) | (y & z))) & t))))) - (11 * (~ (((((x | (~ y)) & (x ^ (y ^ z))) & (~ t)) | (((x & (~ y)) | (y ^ z)) & t)) | (5 * (((~ ((~ x) | (y | z))) & (~ t)) | ((y ^ ((~ x) | (y & z))) & t))))))) - (4 * (~ (((((x | (~ y)) & (x ^ (y ^ z))) & (~ t)) | (((x & (~ y)) | (y ^ z)) & t)) | (~ (5 * (((~ ((~ x) | (y | z))) & (~ t)) | ((y ^ ((~ x) | (y & z))) & t)))))))) + (11 * (~ ((((x | (~ y)) & (x ^ (y ^ z))) & (~ t)) | (((x & (~ y)) | (y ^ z)) & t))))) + (2 * (((y ^ (x | ((~ y) & z))) & (~ t)) | ((y | (~ (x ^ z))) & t)))) + (2 * (~ (x | (y | (z | t)))))) - (8 * (~ ((~ x) | (y | (z | t)))))) + (2 * (~ ((~ x) | ((~ y) | (z | t)))))) - (~ (x | (y | ((~ z) | t))))) - (2 * (~ (x | ((~ y) | ((~ z) | t)))))) + (~ ((~ x) | ((~ y) | ((~ z) | t))))) - (7 * ((~ x) & ((~ y) & ((~ z) & t))))) - (3 * ((~ x) & (y & ((~ z) & t))))) - (x & ((~ y) & ((~ z) & t)))) - (6 * ((~ x) & ((~ y) & (z & t))))) - (x & ((~ y) & (z & t)))) - (2 * (x & (y & (z & t))))), Size: 419, OrigSize: 419, VarNum: 4, IsPoly: false, AlterOrig: 9, AlterDeob: 9, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 419, Time: 62.000000
Name: target_1007, Result: ((((((((((((((((((- 2) * ((2 * (((x | ((~ y) | z)) & (~ t)) | (((x & z) ^ (x ^ ((~ y) & z))) & t))) & (~ ((- 1) * (((y ^ (x & (y | z))) & (~ t)) | ((z ^ (~ (x & ((~ y) | z)))) & t)))))) + ((2 * (((x | ((~ y) | z)) & (~ t)) | (((x & z) ^ (x ^ ((~ y) & z))) & t))) ^ ((- 1) * (((y ^ (x & (y | z))) & (~ t)) | ((z ^ (~ (x & ((~ y) | z)))) & t))))) + (2 * (2 * (((x | ((~ y) | z)) & (~ t)) | (((x & z) ^ (x ^ ((~ y) & z))) & t))))) - (2 * (~ (x | (y | (z | t)))))) + (4 * (~ (x | ((~ y) | (z | t)))))) + (~ ((~ x) | (y | (z | t))))) - (2 * (~ ((~ x) | ((~ y) | (z | t)))))) - (~ (x | ((~ y) | ((~ z) | t))))) + (2 * (~ ((~ x) | (y | ((~ z) | t)))))) + (~ ((~ x) | ((~ y) | ((~ z) | t))))) + (4 * ((~ x) & ((~ y) & ((~ z) & t))))) + ((~ x) & (y & ((~ z) & t)))) - (2 * (x & ((~ y) & ((~ z) & t))))) + (2 * (x & (y & ((~ z) & t))))) - (2 * ((~ x) & ((~ y) & (z & t))))) - (x & ((~ y) & (z & t)))) + (4 * (x & (y & (z & t))))), Size: 291, OrigSize: 291, VarNum: 4, IsPoly: false, AlterOrig: 8, AlterDeob: 11, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 291, Time: 61.000000
Name: target_1008, Result: ((((((((((((((((((((3 * (((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))) & ((- 1) * (((z ^ (x & y)) & (~ t)) | (((~ (x | (~ y))) | (y ^ z)) & t))))) + (2 * (((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))) & (~ ((- 1) * (((z ^ (x & y)) & (~ t)) | (((~ (x | (~ y))) | (y ^ z)) & t))))))) - (((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))) | (~ ((- 1) * (((z ^ (x & y)) & (~ t)) | (((~ (x | (~ y))) | (y ^ z)) & t)))))) + (2 * (~ (((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))) | ((- 1) * (((z ^ (x & y)) & (~ t)) | (((~ (x | (~ y))) | (y ^ z)) & t))))))) + (2 * (~ (((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))) | (~ ((- 1) * (((z ^ (x & y)) & (~ t)) | (((~ (x | (~ y))) | (y ^ z)) & t)))))))) - (~ ((- 2) * (((y ^ (~ ((~ x) | (y ^ z)))) & (~ t)) | (((~ (x & (~ y))) & (~ (x ^ (y ^ z)))) & t))))) + (4 * ((((~ (x & y)) & (y ^ z)) & (~ t)) | ((z | (x & (~ y))) & t)))) - (3 * (((x ^ z) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t)))) - (2 * (((y & (x | (~ z))) & (~ t)) | ((y & z) & t)))) + (5 * (~ ((~ x) | (y | (z | t)))))) + (8 * (~ ((~ x) | ((~ y) | (z | t)))))) + (6 * (~ (x | ((~ y) | ((~ z) | t)))))) - (3 * (~ ((~ x) | (y | ((~ z) | t)))))) + (5 * ((~ x) & ((~ y) & ((~ z) & t))))) - (4 * (x & ((~ y) & ((~ z) & t))))) + (6 * (x & (y & ((~ z) & t))))) - (3 * ((~ x) & ((~ y) & (z & t))))) + ((~ x) & (y & (z & t)))) - (3 * (x & ((~ y) & (z & t))))) + (x & (y & (z & t)))), Size: 508, OrigSize: 508, VarNum: 4, IsPoly: false, AlterOrig: 11, AlterDeob: 22, RuleNumber: 294, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 508, Time: 61.000000
