Name: target_10, Result: ((((x | (((((y & (- y)) << 1) | (- 8)) + ((((y & (- y)) & (- 77)) ^ 7) + 1)) + ((((y * (- 2)) + ((- x) ^ x)) - (((- y) & (~ (76 & y))) + (x ^ (- x)))) + (y | (- y))))) ^ (x & ((((y & 10) ^ 135) + ((y << 1) & 4)) + ((((((((y * (- 2)) - ((128 & (~ y)) & (- y))) + ((y & 53) | 10)) + ((y | (- y)) | (- 129))) + (((y & 64) | (- 194)) & (y | 127))) + ((- x) ^ x)) - (x ^ (- x))) + (- 78))))) + (x & ((((y | (- y)) | 1) + ((y | (- y)) & ((y & (- y)) | 1))) + ((((((((y & 1) | (x ^ 3)) << 1) | (- 152)) + ((x ^ ((y & 1) | (- 76))) ^ 76)) + 1) + ((x << 1) | 152)) - (x + y))))) + ((((((((((((((((x << 1) & 136) | 82) - (x & 76)) + (- 32)) + (((x << 1) & 290) ^ (- 306))) + ((x & (- 77)) ^ 190)) + 1) + (((x << 1) & 24) ^ (- 18))) + 2) + ((x << 1) | (- 6))) + ((((x << 1) & 8) | (- 270)) & ((x << 1) | (- 72)))) + 423) - (x + y)) & (x | (((((- y) | (1 ^ y)) ^ (- 78)) + ((0 & 1) << 1)) + (((((((- y) | 1) + (((- y) ^ y) | 152)) + (x | (- x))) + (x & (- x))) + (y & (- y))) + (- 76))))) & x)), Size: 296, OrigSize: 323, VarNum: 2, IsPoly: false, AlterOrig: 22, AlterDeob: 32, RuleNumber: 185, RuleCount: 162, LinearReduce: 3, SynthReduce: 24, RuleReduce: 296, Time: 61.000000
Name: target_100, Result: ((((x * (- 4)) | (((((x & 16) | 64) & (- x)) + (((((((((((((x & 16) | 64) & (- x)) | 4) + ((x * 126) | (- 82))) + (((- x) & 41) ^ 46)) + 1) + ((((x & 16) | (- x)) | 64) & ((((x & 16) | 64) & (- x)) ^ (- 42)))) + 122) + (x | 126)) + (x & 110)) + (- 76)) + ((x & (~ y)) * (- 4)))) + (- 205))) + ((x * (- 4)) | ((((((y & 2147483572) | (- y)) << 1) | 2) + ((((y & (- 76)) | (- y)) ^ (- 2)) + 1)) + (((((((((- 118) ^ (73 & y)) + (~ (y & 2))) + ((y & (- 76)) & (- y))) + (((y << 1) & 6) ^ (- 6))) + ((y << 1) | (- 20))) + 210) + ((x & (~ y)) * (- 4))) + (- 66))))) - ((x * (- 4)) ^ (((y & 7) + (- 1)) + ((((((((((((y & (- 120)) ^ (- 13)) + ((y & 112) ^ 81)) + ((x & 67) | (- 244))) + ((y << 1) | 94)) - y) + ((x - ((((x << 1) | 1073741744) + ((x ^ 39) + 1)) + (x & (~ y)))) << 2)) + (- 70)) - x) + (x ^ 67)) + (- 6)) + (x | (- 68)))))), Size: 242, OrigSize: 244, VarNum: 2, IsPoly: false, AlterOrig: 24, AlterDeob: 32, RuleNumber: 185, RuleCount: 93, LinearReduce: 1, SynthReduce: 1, RuleReduce: 242, Time: 62.000000
Name: target_1000, Result: ((z & ((((((((- x) & 8) | ((- z) & 25)) | (z | ((((- x) & 157) ^ ((- y) | 134)) ^ 145))) << 1) | (- 320)) - (((((- x) & 8) | ((- z) & 25)) | (- 160)) ^ (z | ((((- x) & (- 99)) ^ ((- y) | 134)) ^ (- 111))))) + ((((((((((((((((((((((((((((((88 + (51 & x)) + ((((- z) | (- 26)) & ((x + 127) | (- 109))) << 1)) - (((- z) | (- 26)) & ((x + 127) | (- 109)))) + (((((- x) & 2147483417) ^ 104) | ((- y) | 134)) << 1)) + (((y | x) ^ (- (y & x))) + (~ (((y | x) | (- (y & x))) << 1)))) + (((- z) ^ 25) + 1)) - ((((((- z) | (- 26)) ^ ((- x) & 108)) + (((- x) & 108) ^ z)) + (z ^ ((((- x) & (- 99)) ^ ((- y) | 134)) ^ (- 111)))) + (((- z) & 8) ^ ((- y) | (- 135))))) + (y & (~ (((- z) | (- 26)) & (~ ((- x) & 108)))))) + (y | (((- z) | (- 26)) & (~ ((- x) & 108))))) - (y ^ (((- z) | (- 26)) & (~ ((- x) & 108))))) + (((- z) & 8) | 1)) + (((((- x) & 108) & (~ z)) | (((- z) & 25) ^ (- 56))) | ((- y) & 134))) + (((((- x) & 108) & (~ z)) | 128) & ((- y) & 134))) + 134) + ((((- x) & 108) | (- z)) | (- 26))) - (((((- x) & 108) | (- z)) | (- 26)) & (- 135))) + (((- x) & 98) ^ 96)) + ((((- x) & 108) & (~ z)) & (((- z) & 25) ^ (- 56)))) + (x & (- 52))) + ((- x) | (- 109))) + 48) + (((- x) & 108) | z)) + (- 35)) + ((- y) | (- 135))) + (z & ((((- x) & (- 99)) ^ ((- y) | 134)) ^ 110))) + ((((- x) & (- 99)) ^ ((- y) | 134)) ^ (- 111))) + (- 167)) + ((- y) | (- 135))) + (- 107)) + (~ ((- y) & 134))))) ^ x), Size: 394, OrigSize: 401, VarNum: 3, IsPoly: false, AlterOrig: 28, AlterDeob: 37, RuleNumber: 185, RuleCount: 150, LinearReduce: 3, SynthReduce: 4, RuleReduce: 394, Time: 61.000000
Name: target_1001, Result: ((((((((((((((((((((- 126) + (((((((- y) & 4) & (20 & (~ y))) & ((x + 7) & (~ y))) & x) << 1) | 2)) + (~ (((((- y) & 4) & (20 & (~ y))) & ((x + 7) & (~ y))) & x))) + (((y & 4) | (((- x) & (- 122)) | 120)) & ((y | x) | (- 18)))) + ((x | y) | (- 2))) + (((((y | 2147483626) ^ (- x)) | ((y & (- x)) & 4)) << 1) ^ 242)) + (((y | ((- x) ^ 4)) << 1) | (- 44))) + (((x & y) + (- 1)) | 1)) + (((x & y) + (- 1)) & 1)) + (y ^ 21)) + (- (x ^ (y | (- 22))))) + ((((y | (- 22)) ^ ((y & (- x)) & 4)) ^ (- x)) ^ (- 22))) + ((x | (y | (- 22))) & 121)) + ((x | (y | (- 22))) ^ 121)) + ((((((y | (- 22)) ^ ((y & (- x)) & 4)) ^ (- x)) & 108) ^ (- 105)) | (((4 & (~ y)) & (- y)) & x))) + ((((4 & (~ y)) & (- y)) & x) | 1)) + ((x & (~ (y | (- 22)))) ^ ((- y) & 132))) + (((((y | (- 22)) ^ ((y & (- x)) & 4)) ^ (- x)) & 108) ^ 4)) + (((y & 21) | ((- x) & (- 122))) & ((- x) | 121))) + ((- y) | 132)), Size: 261, OrigSize: 288, VarNum: 2, IsPoly: false, AlterOrig: 20, AlterDeob: 33, RuleNumber: 185, RuleCount: 123, LinearReduce: 18, SynthReduce: 9, RuleReduce: 261, Time: 62.000000
Name: target_1002, Result: ((x & ((((((- z) & (- y)) & 16) ^ (- 130)) + ((((- z) & (- y)) & 16) << 1)) + ((((((((((((((((((((((((((((((((((- t) | (- y)) | y) | (- 103)) + (((y | (- t)) | 129) & ((- y) | (- 104)))) + (z | 1)) + (z & 1)) + ((((- z) ^ 2147483585) | (t & (- 12))) << 1)) + (y & (((((((z & t) + (- 1)) << 1) | 2) + (((- (z & t)) ^ 1) + 1)) + (- 86)) + ((((x << 1) | 172) + ((x ^ (- 87)) + 1)) - x)))) - ((y ^ (- t)) + ((((t & (- 12)) ^ (- z)) ^ 62) ^ (((- z) & 53) | ((- y) & (- 104)))))) + (((- t) & (- 143)) ^ 143)) + ((- t) | (- 2))) + (t & 1)) + ((- x) ^ 53)) + ((- x) | (- 54))) + 53) + ((- x) & 53)) + (((((t & (- 12)) ^ (- z)) ^ 62) | (((- z) & 53) | ((- y) & (- 104)))) | (((- z) & (- y)) & 16))) + (((- z) & (- 12)) ^ 53)) + (- 2)) + (((- z) | (- 54)) | x)) + 51) + ((y | (- t)) & (- 130))) + (((- z) & (- 64)) | 52)) - ((- z) & 52)) + (t ^ (- 12))) + ((((t & (- 12)) ^ (- z)) ^ 62) & (~ (((- z) & 53) | ((- y) & (- 104)))))) + (((- z) & 53) | ((- y) & (- 104)))) + (t | 11)) + ((y | (- t)) ^ (- 130))) + ((- t) & 142)) + (((- z) | (- 54)) & x)) + (y & (t - 1))) + 6))) * (- 5)), Size: 313, OrigSize: 318, VarNum: 4, IsPoly: false, AlterOrig: 29, AlterDeob: 36, RuleNumber: 185, RuleCount: 285, LinearReduce: 0, SynthReduce: 5, RuleReduce: 313, Time: 61.000000
Name: target_1003, Result: ((((~ (x | (t | (~ (z & y))))) * (- 5)) | (((((y << 1) & 200) | 2) + (~ (y & 100))) + (((((((((((((((((((((((((((~ x) | (- y)) | 44) + ((((- y) | (- t)) | x) | ((- z) | 49))) + ((((- z) | 49) ^ ((x ^ (- y)) | (- t))) & (((x ^ (- y)) | (- t)) | x))) + ((t ^ 196) + 1)) - ((((t & (~ (z | x))) & y) + ((x ^ (- y)) ^ (- t))) + ((z | 153) ^ (- x)))) + (- 101)) + (y | (- 101))) + ((y ^ 100) + 1)) + (((x ^ (- y)) | (- t)) & (~ x))) + x) - (((x ^ (- y)) | (- t)) ^ x)) + (t | (- 197))) + (((x ^ (- y)) | (- t)) | (~ ((- z) | 49)))) + ((- z) | 49)) + (((- z) | 49) & ((x ^ (- y)) | (- t)))) + 52) + ((- x) & (~ (z | 153)))) + (z | 153)) + (((- z) & 49) | (t & 196))) + (- 198)) + (z & 153)) + (((~ x) | (- y)) & 44)) + ((z | (- x)) | 153)) + (x & (- y))) + 2))) + (((~ (x | (t | (~ (z & y))))) * (- 5)) & ((((((- x) & 16) & (z + 63)) | ((- z) | (- 53))) + ((((- x) & (- 101)) & ((- z) ^ 52)) & ((- z) | (- 53)))) + ((((((((((((((((((((((((- t) & 77) | (x & (- y))) | t) + (((x & y) & t) & 1)) + (((x & (- y)) & (t | ((- t) & 76))) | 1)) - (((t & (~ (z | x))) & y) + ((z & (- 21)) ^ y))) + ((x & (- y)) | ((z & (- 21)) | y))) + ((x & (- y)) & ((z & (- 21)) | y))) + (((- x) & (- 101)) | ((- z) ^ 52))) + (((((- t) & 77) & ((((- z) | (- x)) | z) | (- 5))) & t) ^ 52)) + (((((- t) & 77) & ((((- z) | (- x)) | z) | (- 5))) & t) | (- 53))) + 52) + (((((- t) & 77) & ((((- z) | (- x)) | z) | (- 5))) & t) & 4)) + ((- t) | 77)) + 49) + (x ^ (- y))) + ((z & (- 21)) & (~ y))) + y) + (((- x) | (- 101)) & ((z | (- z)) | (- 21)))) + ((z | 32) & ((- z) & 52))) + (- 56)) + ((t & (- t)) | ((((- z) | (- x)) | z) | (- 5)))) + 1)))), Size: 484, OrigSize: 484, VarNum: 4, IsPoly: false, AlterOrig: 41, AlterDeob: 49, RuleNumber: 185, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 484, Time: 61.000000
Name: target_1004, Result: (((t & (((((((x ^ (- z)) & (- 65)) ^ 96) | ((((- x) & (- 216)) | 16) & (~ y))) << 1) + (((((x ^ (- z)) & (- 65)) ^ ((((- x) & (- 216)) | 16) & (~ y))) ^ (- 97)) + 1)) + ((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((- x) | (- 67)) ^ ((- y) | 180)) ^ (- 67)) + ((((- x) | (- 67)) ^ ((- y) | 180)) & (- 247))) + ((y - 1) & (- 247))) + ((- y) ^ (- 230))) + ((((- y) << 1) & 88) ^ 72)) + (((- t) ^ t) | (- 290))) - ((t | (- 145)) ^ (- t))) + (~ (x | y))) + ((t ^ 144) + 1)) + (((x ^ (- z)) ^ (- 97)) + 1)) + (((((~ x) | (- z)) ^ z) ^ 188) + 1)) + (((((~ x) | (- z)) & (- 145)) ^ (- 2)) + 1)) + y) + ((((- x) & (- 216)) | 16) | y)) - ((((- x) & (- 216)) | 16) ^ y)) + ((z | (- 45)) & (((- y) & 125) ^ 52))) + (((- y) & 125) ^ (- 53))) + ((z | (- 45)) | (((- y) & 125) ^ (- 53)))) - ((z | (- 45)) ^ (((- y) & 125) ^ (- 53)))) + ((((- x) | (- 67)) & ((- y) | 180)) ^ ((((~ x) | (- z)) ^ (- 145)) | (z ^ 44)))) + (((((~ x) | (- z)) ^ (- 145)) | (z ^ 44)) | (~ (((- x) | (- 67)) & ((- y) | 180))))) + (((- x) | (- 67)) & ((- y) | 180))) + 1) + ((((- x) | (- 67)) & ((- y) | 180)) & ((((~ x) | (- z)) ^ (- 145)) | (z ^ 44)))) + ((t & 144) & (((- y) & 125) ^ (- 74)))) + (((- y) & 125) ^ 73)) + ((t & 144) | (((- y) & 125) ^ 73))) - ((t & 144) ^ (((- y) & 125) ^ 73))) + (~ (((~ x) | (- z)) & (- 145)))) + ((x & (- z)) & 75)) + 150) + ((((- y) & (- 181)) | (((~ x) | (- z)) | 144)) & (z & 44))) + x) + ((((~ x) | (- z)) ^ (- 145)) & (z ^ (- 45)))) + (z ^ 44)) + (((- y) | 180) | (~ ((- x) | (- 67))))) + ((- x) & 66)) + 1) + (((x ^ (- z)) & 32) | (- 34))) + (((~ x) | (- z)) & (- 146))) + 1) + ((((~ x) | (- z)) & (- 145)) | 1)) + ((((- y) & (- 181)) & ((~ x) | (- z))) | 74)) + 125) + ((- x) | (- 150))) + 102) + (((x ^ (- z)) & (- 65)) ^ 32)) + ((x ^ (- z)) & 32)) + 1) + (((~ x) | (- z)) & (- 145))) + (- 134)) + ((x & (- z)) | 75)) + (- 144)) + ((((- y) & (- 181)) & ((~ x) | (- z))) & 74)) + (- 84)) + ((((- y) & (- 181)) | (((~ x) | (- z)) | 144)) | (z & 44))) + (- 1)))) & z) * 5), Size: 571, OrigSize: 574, VarNum: 4, IsPoly: false, AlterOrig: 53, AlterDeob: 76, RuleNumber: 185, RuleCount: 522, LinearReduce: 0, SynthReduce: 1, RuleReduce: 573, Time: 63.000000
Name: target_1005, Result: (((((y & (- t)) + 88) + (((((((((((((((((y | (- t)) << 1) | (- 392)) + ((y | (- t)) ^ 195)) + 1) + (x | (- 148))) + ((x & (- 256)) | 104)) + (t | (- z))) + (t & (- z))) + ((- y) | 95)) + ((- y) & 95)) + (x & (- 109))) + (x ^ (- 109))) + 109) - x) + 44) + z)) * (((- t) | 59) + (((((((((((((((((t | (((- t) & (- 60)) | 8)) << 1) - (t ^ (((- t) & (- 60)) | 8))) + ((t & (~ x)) & y)) + (y & (- 35))) + 34) + (y | 34)) + ((y ^ (- 35)) + 1)) + ((- x) | (- 93))) + ((- x) & (- 93))) + (x & (~ z))) + z) + (x | z)) - (x ^ z)) + ((- t) ^ (- 60))) + (- 16)) - (z + y)))) + ((((y & (- t)) + 88) + (((((((((((((((((y | (- t)) << 1) | (- 392)) + ((y | (- t)) ^ 195)) + 1) + (x | (- 148))) + ((x & (- 256)) | 104)) + (t | (- z))) + (t & (- z))) + ((- y) | 95)) + ((- y) & 95)) + (x & (- 109))) + (x ^ (- 109))) + 109) - x) + 44) + z)) * 68)), Size: 245, OrigSize: 245, VarNum: 4, IsPoly: false, AlterOrig: 27, AlterDeob: 27, RuleNumber: 185, RuleCount: 292, LinearReduce: 0, SynthReduce: 0, RuleReduce: 245, Time: 62.000000
Name: target_1006, Result: (((((x & (y & (t & (~ z)))) << 3) | (((t ^ 175) + (((t << 1) & (- 296)) ^ (- 384))) + ((((((((- y) ^ y) - (y ^ (- y))) + ((t << 1) | 120)) + 1) - t) + ((((z & (x ^ y)) & t) | (~ (t | ((x ^ y) & (x ^ z))))) << 1)) + 88))) + (((x & (y & (t & (~ z)))) << 3) | ((((z & (x ^ y)) & t) | (~ (t | ((x ^ y) & (x ^ z))))) << 1))) - (((x & (y & (t & (~ z)))) << 3) ^ ((((z & (x ^ y)) & t) | (~ (t | ((x ^ y) & (x ^ z))))) << 1))), Size: 131, OrigSize: 133, VarNum: 4, IsPoly: false, AlterOrig: 3, AlterDeob: 3, RuleNumber: 185, RuleCount: 1, LinearReduce: 0, SynthReduce: 0, RuleReduce: 133, Time: 61.000000
Name: target_1007, Result: (((((~ (x | (y | (t | (~ z))))) << 1) | (((((y & 46) | (- y)) << 1) - ((y & 46) ^ (- y))) + ((((y | 46) + 23) + (((t & (~ ((x | (z & (~ y))) ^ y))) | (~ (t | (x ^ ((z & y) ^ (~ y)))))) * 3)) + (- 69)))) + (((~ (x | (y | (t | (~ z))))) << 1) | (((t & (~ ((x | (z & (~ y))) ^ y))) | (~ (t | (x ^ ((z & y) ^ (~ y)))))) * 3))) - (((~ (x | (y | (t | (~ z))))) << 1) ^ (((t & (~ ((x | (z & (~ y))) ^ y))) | (~ (t | (x ^ ((z & y) ^ (~ y)))))) * 3))), Size: 138, OrigSize: 138, VarNum: 4, IsPoly: false, AlterOrig: 4, AlterDeob: 4, RuleNumber: 185, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 138, Time: 61.000000
Name: target_1008, Result: ((((((y & (~ t)) & z) & x) * (- 2)) | ((((t | y) & 66) | 53) + (((((((((((((((((((((((y | 52) + ((t | y) & 1)) + (((z & (- 81)) | (- z)) << 1)) + (((- t) ^ (- 53)) + 1)) - ((((z & (- 81)) ^ (- z)) + ((t & ((x | z) + (~ ((z | x) << 1)))) & y)) + (t ^ y))) + ((y ^ (- 53)) + 1)) + (((t | y) ^ 67) + 1)) + (((t | y) | (- 68)) ^ (((- t) & (- 53)) & ((z | (x & 64)) | (- 81))))) + ((((- t) & (- 53)) & ((z | (x & 64)) | (- 81))) | (~ ((t | y) | (- 68))))) + ((t | y) | (- 68))) + (((t | y) | (- 68)) & (((- t) & (- 53)) & ((z | (x & 64)) | (- 81))))) + (((z | (- 118)) & (x & (- 54))) | (- y))) + (((z | (- 118)) & (x & (- 54))) & (- y))) + ((((x | (- 54)) & (~ y)) & t) & (- 17))) + 16) + (((x | (- 54)) & (t & (~ y))) | 16)) + ((((x | (- 54)) & (t & (~ y))) ^ (- 17)) + 1)) + (((x | (- 54)) | (t & (~ y))) | (((- t) & 64) | ((z | (x & 64)) | (- 81))))) + (((x | (- 54)) | (t & (~ y))) & (((- t) & 64) | ((z | (x & 64)) | (- 81))))) + (y & (- 53))) + 67) + ((- t) | 52)) - x))) + (((((y & (~ t)) & z) & x) * (- 2)) & ((((x << 1) | 270) - (x | 135)) + (((((((((((((((((((((((((((((((z & ((t & (- 59)) ^ (- 59))) ^ 17) + ((z & ((t & (- 59)) ^ (- 59))) & 1)) + (z & ((~ t) & 1))) + (((- y) & 2) | ((x | (- 136)) ^ (((y | x) & 1) & (- t))))) + (((- y) & 74) & (x | (- 136)))) - ((t & ((((x | z) + (~ ((z | x) << 1))) + (- 66)) + ((((x << 1) | 132) + ((x ^ (- 67)) + 1)) - x))) & y)) + (((- y) ^ 74) + 1)) + ((t ^ (- 59)) + 1)) + ((t | 58) & (~ ((y & (- x)) & (- z))))) + ((y & (- x)) & (- z))) + ((t | 58) | ((y & (- x)) & (- z)))) - ((t | 58) ^ ((y & (- x)) & (- z)))) + (((y & (- x)) & (- z)) & (- 18))) + (((y & (- x)) & (- z)) | 17)) + ((((y & (- x)) & (- z)) ^ (- 18)) + 1)) + (t | 58)) + (z | (t | 58))) - (z ^ (t | 58))) + ((((y | x) & 1) & (- t)) | (~ (x | (- 136))))) + (x | (- 136))) + 1) + (x & (((y | x) & 1) & (- t)))) + ((y & (- x)) ^ (- z))) + (((- y) | (- 75)) & ((y | (- x)) | 1))) + (((y | x) & 1) | (- t))) + ((y | x) | (- 2))) + 2) + (((y | x) & 1) ^ 135)) + ((((- y) | (- x)) | y) | (- 75))) + (- 210))))), Size: 611, OrigSize: 612, VarNum: 4, IsPoly: false, AlterOrig: 55, AlterDeob: 74, RuleNumber: 185, RuleCount: 1, LinearReduce: 0, SynthReduce: 0, RuleReduce: 612, Time: 61.000000
