Name: target_10, Result: ((((((((((((- 11) * y) * (x & (~ y))) + (y * x)) - ((10 * y) * (~ (x | y)))) - ((10 * y) * (~ (x | (~ y))))) + ((11 * x) * (x & (~ y)))) - (x * x)) + ((10 * x) * (~ (x | y)))) + ((10 * x) * (~ (x | (~ y))))) + ((11 * y) * (~ (x & y)))) - ((11 * x) * (~ (x & y)))), Size: 82, OrigSize: 82, VarNum: 2, IsPoly: true, AlterOrig: 8, AlterDeob: 8, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 82, Time: 62.000000
Name: target_100, Result: ((((((((((((((((((- 60) * (x & (~ y))) * (x & y)) - ((84 * (x & (~ y))) * (x & (~ y)))) + ((88 * (x & (~ y))) * x)) - ((24 * (x & (~ y))) * (- 1))) + ((8 * (x & (~ y))) * (~ (x | y)))) + ((24 * (x & (~ y))) * (~ (x | (~ y))))) - ((60 * x) * (x & y))) - ((84 * x) * (x & (~ y)))) + ((88 * x) * x)) - ((24 * x) * (- 1))) + ((8 * x) * (~ (x | y)))) + ((24 * x) * (~ (x | (~ y))))) + ((4 * (x & (~ y))) * (x ^ y))) + ((20 * (x & (~ y))) * (~ y))) + ((4 * x) * (x ^ y))) + ((20 * x) * (~ y))), Size: 152, OrigSize: 158, VarNum: 2, IsPoly: true, AlterOrig: 14, AlterDeob: 13, RuleNumber: 26, RuleCount: 2, LinearReduce: 6, SynthReduce: 0, RuleReduce: 152, Time: 62.000000
Name: target_1000, Result: (((((((6 * ((x & z) ^ (x ^ ((~ y) & z)))) * (~ (x & (~ y)))) - ((12 * ((x & z) ^ (x ^ ((~ y) & z)))) * (~ (x ^ y)))) + ((6 * ((x & z) ^ (x ^ ((~ y) & z)))) * (~ (x | y)))) - (((x & z) ^ (x ^ ((~ y) & z))) * (~ (x | (~ y))))) + ((5 * ((x & z) ^ (x ^ ((~ y) & z)))) * (x | (~ y)))) - ((6 * ((x & z) ^ (x ^ ((~ y) & z)))) * (~ (x & y)))), Size: 107, OrigSize: 107, VarNum: 3, IsPoly: true, AlterOrig: 5, AlterDeob: 5, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 107, Time: 62.000000
Name: target_1001, Result: (((((((((- 5) * (~ (x & y))) * (x & y)) - ((7 * (~ (x & y))) * (x & (~ y)))) - ((2 * (~ (x & y))) * (~ (x ^ y)))) + ((6 * (~ (x & y))) * (~ (x | y)))) - ((10 * (~ (x & y))) * (~ (x | (~ y))))) + ((11 * (~ (x & y))) * (x | y))) - ((3 * (~ (x & y))) * (x | (~ y)))), Size: 83, OrigSize: 83, VarNum: 2, IsPoly: true, AlterOrig: 7, AlterDeob: 8, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 83, Time: 62.000000
Name: target_1002, Result: ((((((((((- 15) * (x & (y & (z & t)))) * (x & y)) - ((40 * (x & (y & (z & t)))) * (x & (~ y)))) - ((10 * (x & (y & (z & t)))) * (~ (x & y)))) - ((65 * (x & (y & (z & t)))) * (~ (x | y)))) + ((10 * (x & (y & (z & t)))) * (~ (x | (~ y))))) + ((5 * (x & (y & (z & t)))) * (~ x))) + ((20 * (x & (y & (z & t)))) * (~ (x ^ y)))) + ((55 * (x & (y & (z & t)))) * (~ y))), Size: 116, OrigSize: 116, VarNum: 4, IsPoly: true, AlterOrig: 8, AlterDeob: 9, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 116, Time: 63.000000
Name: target_1003, Result: (((((((((((((((((25 * (~ (x | ((~ y) | ((~ z) | t))))) * (x & y)) + ((90 * (~ (x | ((~ y) | ((~ z) | t))))) * (x & (~ y)))) - ((70 * (~ (x | ((~ y) | ((~ z) | t))))) * (~ (x & y)))) + ((70 * (~ (x | ((~ y) | ((~ z) | t))))) * (~ (x | y)))) + ((105 * (~ (x | ((~ y) | ((~ z) | t))))) * (~ (x | (~ y))))) + ((5 * (~ (x | ((~ y) | ((~ z) | t))))) * (~ x))) + ((5 * ((~ x) & (y & ((~ z) & t)))) * (x & y))) + ((18 * ((~ x) & (y & ((~ z) & t)))) * (x & (~ y)))) - ((14 * ((~ x) & (y & ((~ z) & t)))) * (~ (x & y)))) + ((14 * ((~ x) & (y & ((~ z) & t)))) * (~ (x | y)))) + ((21 * ((~ x) & (y & ((~ z) & t)))) * (~ (x | (~ y))))) + (((~ x) & (y & ((~ z) & t))) * (~ x))) - ((15 * (~ (x | ((~ y) | ((~ z) | t))))) * (x ^ y))) - ((20 * (~ (x | ((~ y) | ((~ z) | t))))) * y)) - ((3 * ((~ x) & (y & ((~ z) & t)))) * (x ^ y))) - ((4 * ((~ x) & (y & ((~ z) & t)))) * y)), Size: 265, OrigSize: 265, VarNum: 4, IsPoly: true, AlterOrig: 13, AlterDeob: 13, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 265, Time: 61.000000
Name: target_1004, Result: ((((((65 * ((~ x) & ((~ y) & (z & t)))) * (x & y)) - ((65 * ((~ x) & ((~ y) & (z & t)))) * (~ (x ^ y)))) - ((5 * ((~ x) & ((~ y) & (z & t)))) * (~ (x | (~ y))))) - ((5 * ((~ x) & ((~ y) & (z & t)))) * x)) + ((60 * ((~ x) & ((~ y) & (z & t)))) * (~ (x | y)))), Size: 81, OrigSize: 81, VarNum: 4, IsPoly: true, AlterOrig: 4, AlterDeob: 4, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 81, Time: 63.000000
Name: target_1005, Result: ((((((((((((((26 * ((~ x) & (y & ((~ z) & t)))) * (x & y)) - ((39 * ((~ x) & (y & ((~ z) & t)))) * (x & (~ y)))) + ((65 * ((~ x) & (y & ((~ z) & t)))) * (~ (x & y)))) - ((52 * ((~ x) & (y & ((~ z) & t)))) * (~ (x | y)))) - ((52 * ((~ x) & (y & ((~ z) & t)))) * (~ (x | (~ y))))) + ((286 * ((~ x) & (y & (z & t)))) * (x & y))) + ((91 * ((~ x) & (y & (z & t)))) * (x & (~ y)))) - ((286 * ((~ x) & (y & (z & t)))) * y)) - ((91 * ((~ x) & (y & (z & t)))) * (~ (x & y)))) + ((104 * ((~ x) & (y & (z & t)))) * (~ (x | y)))) + ((390 * ((~ x) & (y & (z & t)))) * (~ (x | (~ y))))) - ((13 * ((~ x) & (y & ((~ z) & t)))) * x)) + ((13 * ((~ x) & (y & (z & t)))) * x)), Size: 204, OrigSize: 204, VarNum: 4, IsPoly: true, AlterOrig: 10, AlterDeob: 10, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 204, Time: 61.000000
Name: target_1006, Result: ((((((((((((((((((- 24) * (x & (y & ((~ z) & t)))) * (x & y)) - ((56 * (x & (y & ((~ z) & t)))) * (x & (~ y)))) + ((16 * (x & (y & ((~ z) & t)))) * (x ^ y))) + ((16 * (x & (y & ((~ z) & t)))) * (x | y))) - ((24 * (x & (y & ((~ z) & t)))) * (~ (x | y)))) - ((40 * (x & (y & ((~ z) & t)))) * (~ (x | (~ y))))) - ((6 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (x & y))) - ((14 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (x & (~ y)))) + ((4 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (x ^ y))) + ((4 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (x | y))) - ((6 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (~ (x | y)))) - ((10 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (~ (x | (~ y))))) - ((16 * (x & (y & ((~ z) & t)))) * y)) + ((16 * (x & (y & ((~ z) & t)))) * (~ (x & (~ x))))) - ((4 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * y)) + ((4 * ((((~ (x ^ y)) | (~ (x ^ z))) & (~ t)) | ((z & (x ^ y)) & t))) * (~ (x & (~ x))))), Size: 344, OrigSize: 344, VarNum: 4, IsPoly: true, AlterOrig: 14, AlterDeob: 15, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 344, Time: 63.000000
Name: target_1007, Result: ((((((((((((((- 20) * (~ (x | (y | ((~ z) | t))))) * (x & y)) - ((20 * (~ (x | (y | ((~ z) | t))))) * (x & (~ y)))) + ((16 * (~ (x | (y | ((~ z) | t))))) * x)) - ((2 * (~ (x | (y | ((~ z) | t))))) * (~ (x | y)))) - ((30 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * (x & y))) - ((30 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * (x & (~ y)))) + ((24 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * x)) - ((3 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * (~ (x | y)))) + ((2 * (~ (x | (y | ((~ z) | t))))) * (x | y))) - ((4 * (~ (x | (y | ((~ z) | t))))) * (~ (x | (~ y))))) + ((3 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * (x | y))) - ((6 * (((~ (x ^ ((~ y) | z))) & (~ t)) | ((y ^ (~ (x | ((~ y) & z)))) & t))) * (~ (x | (~ y))))), Size: 274, OrigSize: 274, VarNum: 4, IsPoly: true, AlterOrig: 10, AlterDeob: 11, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 274, Time: 61.000000
Name: target_1008, Result: (((((((((((((((14 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (x & y)) - ((12 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (x & (~ y)))) - ((10 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (~ (x | y)))) + ((2 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (~ (x | (~ y))))) - ((2 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (~ x))) + ((7 * ((~ x) & (y & ((~ z) & t)))) * (x & y))) - ((6 * ((~ x) & (y & ((~ z) & t)))) * (x & (~ y)))) - ((5 * ((~ x) & (y & ((~ z) & t)))) * (~ (x | y)))) + (((~ x) & (y & ((~ z) & t))) * (~ (x | (~ y))))) - (((~ x) & (y & ((~ z) & t))) * (~ x))) - ((12 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * y)) + ((14 * (~ ((~ x) | ((~ y) | ((~ z) | t))))) * (~ (x & y)))) - ((6 * ((~ x) & (y & ((~ z) & t)))) * y)) + ((7 * ((~ x) & (y & ((~ z) & t)))) * (~ (x & y)))), Size: 237, OrigSize: 237, VarNum: 4, IsPoly: true, AlterOrig: 10, AlterDeob: 10, RuleNumber: 26, RuleCount: 0, LinearReduce: 0, SynthReduce: 0, RuleReduce: 237, Time: 63.000000
